映画・ドラマ,地雷フラグ,友人におすすめ,ワクワク,怖い,感動,イケメン・美人,胸キュン,爆発・暴力,あり得ない,勉強になる,悲しい,笑える,社会派,アクション,絵が美しい🥰
ワンピースエピソードオブチョッパー冬に咲く、奇跡の桜,0,10.0,10.0,4.0,10.0,8.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ヴァイオレットエヴァーガーデン,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヴィオレッタ,0,7.0,2.0,0.0,7.0,10.0,0.0,3.0,3.0,2.0,6.0,0.0,2.0,0.0,0.0
ヴィンセントが教えてくれたこと,1,8.0,8.0,0.0,7.0,4.0,0.0,6.0,6.0,8.0,0.0,8.0,0.0,0.0,0.0
ヴェノム,1,7.0,8.0,9.0,6.0,8.0,5.0,10.0,8.0,0.0,0.0,10.0,0.0,10.0,0.0
三月のライオン,0,4.0,6.0,1.0,8.0,8.0,8.0,0.0,1.0,4.0,3.0,4.0,4.0,0.0,5.0
世界から猫が消えたなら,0,9.0,2.0,8.0,10.0,8.0,8.0,1.0,7.0,9.0,9.0,3.0,6.0,1.0,7.0
主戦場,1,8.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,10.0,0.0,0.0
人間失格-太宰治と3人の女たち-,1,5.0,4.0,5.0,6.0,9.0,4.0,2.0,5.0,4.0,6.0,2.0,0.0,0.0,7.0
人魚の眠る家,1,6.0,1.0,7.0,8.0,4.0,2.0,3.0,1.0,10.0,9.0,1.0,10.0,1.0,3.0
借りぐらしのアリエッティ,0,8.0,8.0,5.0,6.0,8.0,6.0,0.0,5.0,1.0,4.0,2.0,0.0,0.0,9.0
借り暮らしのアリエッティ,0,8.0,8.0,3.0,7.0,7.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0
僕のヒーローアカデミア,0,6.0,8.0,6.0,9.0,6.0,4.0,10.0,10.0,5.0,8.0,8.0,4.0,7.0,7.0
僕のヒーローアカデミア 2人の英雄,0,7.0,5.0,1.0,4.0,8.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0
千と千尋の神隠し,0,8.0,7.666666666666667,5.333333333333333,9.0,6.0,6.666666666666667,2.333333333333333,5.333333333333333,2.6666666666666665,4.333333333333333,4.0,2.6666666666666665,3.6666666666666665,9.666666666666666
名探偵コナン ゼロの執行人 ,0,9.0,1.0,1.0,4.0,10.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0
名探偵コナンゼロの執行人,0,8.0,8.0,5.0,8.0,8.0,4.0,8.0,10.0,8.0,5.0,4.0,1.0,9.0,9.0
名探偵コナン純黒の悪夢,0,9.0,7.0,5.0,10.0,9.0,3.0,9.0,10.0,7.0,9.0,4.0,1.0,9.0,10.0
君の名は,0,8.0,7.0,5.0,7.0,4.0,6.0,2.0,3.5,5.0,6.0,4.0,3.0,5.0,9.0
君の名前で僕を呼んで,0,5.0,0.6666666666666666,0.0,9.0,9.333333333333334,5.666666666666667,0.0,0.3333333333333333,0.0,10.0,0.0,5.0,1.3333333333333333,10.0
君は月夜に光り輝く,0,7.0,6.0,3.0,8.0,9.0,9.0,1.0,9.0,3.0,8.0,5.0,4.0,2.0,7.0
告白,1,5.0,1.0,10.0,2.0,6.0,1.0,7.0,1.0,6.0,8.0,2.0,8.0,1.0,2.0
図書館戦争,0,10.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0,7.0,6.0
天気の子,0,6.0,8.0,2.0,7.0,6.0,2.0,3.0,9.0,2.0,3.0,5.0,2.0,5.0,9.0
天空の城ラピュタ,0,8.666666666666666,8.0,3.0,7.0,5.333333333333333,6.666666666666667,3.6666666666666665,5.666666666666667,3.333333333333333,3.333333333333333,4.333333333333333,1.6666666666666667,6.333333333333333,9.333333333333334
天空の蜂,0,8.0,2.0,7.0,8.0,7.0,1.0,9.0,7.0,8.0,8.0,3.0,10.0,7.0,3.0
女神の見えざる手,0,1.0,8.0,7.0,8.0,7.0,4.0,4.0,3.0,7.0,6.0,3.0,8.0,3.0,8.0
子宮に沈める,1,1.0,0.0,10.0,2.0,0.0,0.0,8.0,4.5,10.0,10.0,0.0,8.0,3.0,2.0
存在のない子供たち,1,5.0,0.0,5.0,8.0,3.0,2.0,7.0,1.0,7.0,9.0,1.0,10.0,7.0,8.0
容疑者Xの献身,0,6.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,7.0,2.0,3.0,5.0
容疑者xの献身,0,9.0,0.0,3.0,10.0,5.0,0.0,3.0,1.0,0.0,10.0,0.0,5.0,2.0,0.0
宿命の大統領,0,10.0,10.0,7.0,7.0,7.0,4.0,8.0,2.0,5.0,6.0,3.0,10.0,9.0,3.0
崖の上のポニョ,0,6.2,6.8,1.0,7.0,2.0,4.8,0.2,3.8,3.6,0.6,5.4,0.4,2.8,8.0
平成狸合戦ぽんぽこ,1,3.0,5.0,6.0,5.0,2.0,2.0,6.0,9.0,7.0,7.0,6.0,7.0,7.0,5.0
幼い依頼人,1,6.0,2.0,10.0,9.0,5.0,0.0,10.0,2.0,8.0,10.0,1.0,8.0,4.0,1.0
思い出のマーニー,0,3.0,5.0,2.0,5.0,8.0,4.0,0.0,5.0,2.0,8.0,2.0,0.0,0.0,9.0
怪盗グルーのミニオン危機一髪,0,8.0,9.0,0.0,5.0,0.0,1.0,4.0,9.0,0.0,0.0,10.0,0.0,7.0,1.0
